,_id,title,ranking,genres,episodes
0,52991,Sousou no Frieren,1,"['Adventure', 'Drama', 'Fantasy']",0
1,5114,Fullmetal Alchemist: Brotherhood,2,"['Action', 'Adventure', 'Drama', 'Fantasy']",64
2,9253,Steins;Gate,3,"['Drama', 'Sci-Fi', 'Suspense']",24
3,38524,Shingeki no Kyojin Season 3 Part 2,4,"['Action', 'Drama']",10
4,39486,Gintama: The Final,5,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",1
5,28977,Gintama°,6,"['Action', 'Comedy', 'Sci-Fi']",51
6,11061,Hunter x Hunter (2011),7,"['Action', 'Adventure', 'Fantasy']",148
7,60022,One Piece Fan Letter,8,"['Action', 'Adventure', 'Fantasy']",1
8,820,Ginga Eiyuu Densetsu,9,"['Drama', 'Sci-Fi']",110
9,9969,Gintama',10,"['Action', 'Comedy', 'Sci-Fi']",51
10,15417,Gintama': Enchousen,11,"['Action', 'Comedy', 'Sci-Fi']",13
11,41467,Bleach: Sennen Kessen-hen,12,"['Action', 'Adventure', 'Fantasy']",13
12,34096,Gintama.,13,"['Action', 'Comedy', 'Sci-Fi']",12
13,57555,Chainsaw Man Movie: Reze-hen,14,"['Action', 'Fantasy']",1
14,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,15,"['Comedy', 'Romance']",13
15,42938,Fruits Basket: The Final,16,"['Drama', 'Romance', 'Supernatural']",13
16,4181,Clannad: After Story,17,"['Drama', 'Romance', 'Supernatural']",24
17,918,Gintama,18,"['Action', 'Comedy', 'Sci-Fi']",201
18,28851,Koe no Katachi,19,"['Award Winning', 'Drama']",1
19,58514,Kusuriya no Hitorigoto 2nd Season,20,"['Drama', 'Mystery']",0
20,2904,Code Geass: Hangyaku no Lelouch R2,21,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",25
21,35180,3-gatsu no Lion 2nd Season,22,[],22
22,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,23,"['Action', 'Comedy', 'Sci-Fi']",1
23,19,Monster,24,"['Drama', 'Mystery', 'Suspense']",74
24,37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,25,"['Action', 'Comedy', 'Sci-Fi']",14
25,54492,Kusuriya no Hitorigoto,26,"['Drama', 'Mystery']",0
26,35247,Owarimonogatari 2nd Season,27,"['Comedy', 'Mystery', 'Supernatural']",7
27,51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,28,"['Action', 'Drama', 'Suspense']",2
28,37987,Violet Evergarden Movie,29,"['Award Winning', 'Drama', 'Fantasy']",1
29,59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,30,"['Action', 'Drama', 'Suspense']",1
30,60489,Takopii no Genzai,31,"['Drama', 'Sci-Fi']",0
31,32281,Kimi no Na wa.,32,"['Award Winning', 'Drama', 'Supernatural']",1
32,40682,Kingdom 3rd Season,33,[],26
33,49387,Vinland Saga Season 2,34,"['Action', 'Adventure', 'Drama']",24
34,36838,Gintama. Shirogane no Tamashii-hen,35,"['Action', 'Comedy', 'Sci-Fi']",12
35,263,Hajime no Ippo,36,[],75
36,40028,Shingeki no Kyojin: The Final Season,37,"['Action', 'Drama']",16
37,31758,Kizumonogatari III: Reiketsu-hen,38,"['Action', 'Mystery', 'Supernatural']",1
38,37510,Mob Psycho 100 II,39,"['Action', 'Comedy', 'Supernatural']",13
39,32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,40,[],10
40,199,Sen to Chihiro no Kamikakushi,41,"['Adventure', 'Award Winning', 'Supernatural']",1
41,48583,Shingeki no Kyojin: The Final Season Part 2,42,"['Action', 'Drama']",12
42,37521,Vinland Saga,43,"['Action', 'Adventure', 'Drama']",24
